appeal_district,trial_district,offence,sentence,no_complainant,no_male_complainant,no_female_complainant,no_appealant,no_male_appealant,no_female_appealant,no_public_witness,no_eye_witness,no_defense_witness,scn_decision
Missing,South-East,Civil_petition,Appeal_granted,0,0,0,1,1,-1,0,0,0,Dismissed
Missing,South-East,Trespassing,Payment_damages,0,0,0,1,1,-1,0,0,0,Dismissed
Missing,Missing,Murder_manslaughter,Payment_damages,0,0,0,1,1,-1,0,0,0,Dismissed
South-South,South-East,Murder_manslaughter,Death,0,0,0,1,1,-1,5,0,0,Dismissed
Missing,Missing,Theft,Appeal_dismissed,0,0,0,1,1,-1,0,0,0,Dismissed
South-East,Missing,Trespassing,Payment_damages,0,0,0,1,1,-1,0,0,0,Dismissed
South-East,Missing,Dispute,Payment_damages,0,0,0,1,1,-1,0,0,0,Dismissed
Missing,South-East,Murder_manslaughter,Payment_damages,0,0,0,1,-1,-1,-1,0,0,Dismissed
Missing,Missing,Missing,Prison_term,0,0,0,1,1,-1,0,0,0,Dismissed
FCT,North-Central,Dispute,Payment_damages,0,0,0,1,1,-1,0,0,0,Dismissed
South-South,Missing,Curroption_abuse_office,Appeal_granted,0,0,0,1,1,-1,0,0,0,Granted
South-South,Missing,Election_petition,Payment_damages,0,0,0,1,1,-1,0,0,0,Dismissed
Missing,South-West,Curroption_abuse_office,Payment_damages,0,0,0,1,1,-1,0,0,0,Dismissed
Missing,Missing,Civil_petition,Payment_damages,0,0,0,1,1,-1,0,0,0,Dismissed
Missing,South-West,Curroption_abuse_office,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
Missing,Missing,Civil_petition,Appeal_dismissed,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Dispute,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
FCT,South-South,Fraud_impersonation,Payment_damages,0,0,0,3,3,0,0,0,0,Dismissed
North-West,North-West,Election_petition,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
Missing,South-East,Fraud_impersonation,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
FCT,FCT,Election_petition,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
North-Central,Missing,Missing,Appeal_granted,0,0,0,1,1,0,0,0,0,Granted
South-West,Missing,Election_petition,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-South,South-South,Civil_petition,Appeal_granted,0,0,0,1,1,0,0,0,0,Dismissed
Missing,Missing,Dispute,Appeal_granted,0,0,0,1,1,0,0,0,0,Dismissed
Missing,South-West,Dispute,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
Missing,Missing,Others,Appeal_granted,0,0,0,1,1,0,0,0,0,Granted
South-East,Missing,Others,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
FCT,FCT,Civil_petition,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
Missing,Missing,Dispute,Appeal_granted,0,0,0,1,1,0,0,0,0,Granted
Missing,South-West,Murder_manslaughter,Death,0,0,0,1,1,0,2,0,0,Dismissed
Missing,South-West,Others,Appeal_granted,0,0,0,1,1,0,0,0,0,Granted
Missing,South-East,Murder_manslaughter,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
Missing,South-West,Dispute,Payment_damages,0,0,0,1,1,0,-1,0,3,Dismissed
FCT,FCT,Missing,Payment_damages,0,0,0,1,1,0,-1,0,0,Dismissed
Missing,North-West,Others,Payment_damages,0,0,0,1,1,0,1,0,0,Dismissed
Missing,South-West,Dispute,Appeal_dismissed,0,0,0,1,1,0,0,0,0,Dismissed
Missing,Missing,Libel,Payment_damages,0,0,0,1,1,0,0,2,0,Dismissed
Missing,Missing,Dispute,Appeal_granted,0,0,0,1,1,0,0,0,0,Granted
Missing,South-South,Dispute,Appeal_granted,0,0,0,1,1,0,0,0,0,Granted
Missing,Missing,Dispute,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
Missing,South-West,Fraud_impersonation,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
Missing,Missing,Dispute,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
Missing,South-South,Murder_manslaughter,Appeal_granted,0,0,0,1,1,0,3,0,0,Granted
Missing,South-South,Murder_manslaughter,Payment_damages,0,0,0,1,1,0,2,0,0,Dismissed
Missing,Missing,Human_rights_violation,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
Missing,Missing,Civil_petition,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
Missing,South-West,Fraud_impersonation,Appeal_dismissed,0,0,0,1,1,0,0,0,0,Dismissed
Missing,FCT,Others,Payment_damages,0,0,0,1,1,0,0,1,0,Dismissed
Missing,Missing,Murder_manslaughter,Death,0,0,0,1,1,1,0,0,0,Dismissed
Missing,Missing,Murder_manslaughter,Prison_term,0,0,0,1,1,1,0,3,0,Dismissed
Missing,South-South,Civil_petition,Payment_damages,0,0,0,1,1,1,0,0,0,Dismissed
Missing,South-West,Armed_robbery,Death,0,0,0,1,1,0,4,0,0,Dismissed
Missing,South-West,Murder_manslaughter,Appeal_granted,0,0,0,1,1,0,1,0,0,Granted
Missing,South-West,Dispute,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
Missing,Missing,Armed_robbery,Prison_term,0,0,0,1,1,0,0,0,0,Dismissed
Missing,North-West,Fraud_impersonation,Appeal_granted,0,0,0,1,1,0,0,0,0,Granted
South-West,South-West,Civil_petition,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
Missing,Missing,Murder_manslaughter,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-West,Missing,Dispute,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
Missing,South-West,Dispute,Appeal_granted,0,0,0,1,1,0,0,0,0,Granted
Missing,South-East,Dispute,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
Missing,South-West,Missing,Appeal_granted,0,0,0,1,1,0,0,2,0,Granted
South-East,Missing,Murder_manslaughter,Prison_term,0,0,0,1,1,0,0,0,0,Dismissed
South-West,Missing,Missing,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
Missing,Missing,Dispute,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
Missing,Missing,Others,Appeal_granted,0,0,0,2,2,0,0,0,0,Granted
Missing,South-West,Others,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
Missing,South-West,Others,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
Missing,South-West,Dispute,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-South,Missing,Human_rights_violation,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
Missing,FCT,Murder_manslaughter,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
FCT,Missing,Court_order_violation,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
Missing,South-West,Dispute,Payment_damages,0,0,0,1,1,0,0,0,0,Granted
South-West,Missing,Libel,Appeal_granted,0,0,0,1,1,0,2,0,0,Granted
Missing,Missing,Others,Missing,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Libel,Payment_damages,-1,-1,-1,1,1,-1,-1,-1,-1,Granted
Missing,Missing,Others,Missing,1,-1,-1,1,1,-1,-1,-1,-1,Dismissed
North-West,South-West,Dispute,Missing,1,-1,-1,2,2,-1,1,-1,-1,Dismissed
South-West,South-West,Civil_petition,Missing,1,1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,South-West,Unlawful_possession,Missing,-1,-1,-1,1,1,-1,-1,-1,-1,Dismissed
South-West,South-West,Dispute,Missing,1,1,-1,6,-1,-1,-1,-1,-1,Dismissed
South-South,South-South,Others,Missing,1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-East,South-East,Dispute,Others,1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,South-East,Murder_manslaughter,Death,-1,-1,-1,1,1,-1,-1,-1,-1,Dismissed
South-West,South-West,Armed_robbery,Prison_term,1,1,-1,2,2,-1,-1,-1,-1,Granted
Missing,Missing,Others,Missing,-1,-1,-1,2,2,-1,-1,-1,-1,Dismissed
Missing,Missing,Armed_robbery,Death,-1,-1,-1,1,1,-1,2,3,-1,Dismissed
Missing,South-West,Others,Missing,1,-1,-1,2,-1,-1,-1,-1,-1,Granted
South-West,South-West,Others,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,South-South,Murder_manslaughter,Death,-1,-1,-1,1,1,-1,6,-1,1,Dismissed
Missing,South-South,Theft,Payment_damages,1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,South-South,Dispute,Payment_damages,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-South,South-South,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
Missing,Missing,Armed_robbery,Missing,3,2,1,1,1,-1,-1,-1,-1,Dismissed
Missing,North-West,Others,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,South-West,Dispute,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Granted
South-West,South-West,Civil_petition,Missing,-1,-1,-1,1,1,-1,-1,-1,-1,Granted
Missing,South-South,Others,Missing,1,-1,-1,1,1,-1,-1,-1,-1,Dismissed
South-West,South-West,Dispute,Missing,1,1,-1,1,1,-1,-1,-1,-1,Dismissed
South-East,South-East,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
FCT,North-Central,Armed_robbery,Missing,1,1,-1,2,2,-1,-1,-1,-1,Dismissed
South-West,South-West,Dispute,Missing,-1,-1,-1,1,1,-1,-1,-1,1,Dismissed
South-West,Missing,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,South-East,Murder_manslaughter,Death,3,-1,-1,4,-1,-1,-1,-1,-1,Dismissed
South-West,South-West,Human_rights_violation,Missing,2,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,FCT,Others,Missing,-1,-1,-1,1,1,-1,-1,-1,-1,Granted
Missing,FCT,Dispute,Missing,2,-1,-1,-1,-1,-1,-1,-1,-1,Granted
Missing,South-East,Court_order_violation,Missing,-1,-1,-1,1,1,-1,-1,1,-1,Granted
South-South,South-South,Murder_manslaughter,Death,-1,-1,-1,1,-1,1,5,1,-1,Dismissed
South-South,South-South,Others,Missing,1,1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-South,Missing,Civil_petition,Missing,-1,-1,-1,1,-1,1,-1,-1,-1,Granted
Missing,North-West,Dispute,Missing,-1,-1,-1,1,1,-1,-1,-1,-1,Dismissed
Missing,South-West,Libel,Missing,1,1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Court_order_violation,Prison_term,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-West,South-West,Dispute,Missing,-1,-1,-1,1,1,-1,-1,-1,-1,Dismissed
South-West,South-West,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
South-West,Missing,Dispute,Missing,1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
Missing,South-West,Dispute,Missing,-1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,South-West,Theft,Missing,1,-1,-1,1,1,-1,6,-1,5,Dismissed
Missing,Missing,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Murder_manslaughter,Death,-1,-1,-1,1,1,-1,-1,2,-1,Granted
South-West,Missing,Others,Missing,2,-1,-1,1,1,-1,-1,-1,-1,Dismissed
South-West,Missing,Dispute,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
South-West,Missing,Unlawful_termination_appointment,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Granted
North-Central,Missing,Murder_manslaughter,Death,-1,-1,-1,1,1,-1,-1,-1,-1,Granted
Missing,South-West,Dispute,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,South-West,Civil_petition,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-West,Missing,Civil_petition,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-West,Missing,Law_of_tort,Missing,1,-1,-1,2,-1,-1,2,-1,-1,Dismissed
South-West,South-West,Law_of_tort,Payment_damages,1,-1,-1,1,1,-1,-1,-1,-1,Granted
Missing,Missing,Theft,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
North-West,Missing,Armed_robbery,Death,4,-1,-1,-1,-1,-1,4,-1,5,Dismissed
Missing,Missing,Armed_robbery,Missing,-1,-1,-1,1,1,-1,-1,-1,-1,Dismissed
North-Central,Missing,Civil_petition,Missing,-1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
South-East,South-East,Others,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Human_rights_violation,Prison_term,1,-1,-1,1,-1,1,-1,-1,-1,Granted
Missing,South-East,Theft,Missing,-1,-1,-1,1,1,-1,5,-1,-1,Granted
Missing,Missing,Dispute,Missing,1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-West,Missing,Dispute,Payment_damages,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Missing,-1,-1,-1,1,-1,-1,-1,-1,-1,Granted
Missing,Missing,Dispute,Missing,-1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
FCT,North-Central,Others,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
FCT,Missing,Others,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
FCT,Missing,Murder_manslaughter,Death,-1,-1,-1,1,-1,-1,-1,2,-1,Granted
Missing,South-West,Others,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
Missing,North-Central,Theft,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,North-West,Dispute,Missing,-1,-1,-1,1,1,-1,-1,2,-1,Granted
Missing,South-West,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
FCT,Missing,Dispute,Missing,-1,-1,-1,1,1,-1,-1,-1,-1,Dismissed
FCT,Missing,Law_of_tort,Missing,2,-1,-1,1,1,-1,-1,-1,-1,Dismissed
South-South,South-South,Others,Missing,-1,-1,-1,5,-1,-1,-1,-1,-1,Granted
Missing,Missing,Trespassing,Missing,-1,-1,-1,-1,-1,-1,3,-1,4,Dismissed
South-South,South-South,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-West,Missing,Claim_for_recovery,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Granted
South-West,South-West,Claim_for_recovery,Prison_term,1,-1,-1,1,-1,1,5,-1,-1,Dismissed
Missing,South-West,Claim_for_recovery,Missing,1,1,-1,-1,-1,-1,-1,1,-1,Granted
South-West,Missing,Dispute,Payment_damages,1,-1,-1,2,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Missing,-1,-1,-1,1,-1,1,-1,-1,-1,Dismissed
South-West,South-West,Theft,Missing,-1,-1,-1,-1,1,-1,-1,-1,-1,Dismissed
Missing,South-West,Dispute,Missing,2,-1,-1,2,1,-1,-1,-1,-1,Dismissed
Missing,Missing,Others,Missing,1,-1,-1,2,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Others,Missing,-1,-1,-1,1,1,-1,-1,1,-1,Granted
Missing,Missing,Others,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
Missing,South-West,Dispute,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Granted
Missing,South-West,Others,Missing,1,1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Civil_petition,Missing,-1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
South-West,South-West,Theft,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-East,South-South,Dispute,Payment_damages,1,1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,South-West,Murder_manslaughter,Death,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Payment_damages,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
Missing,Missing,Fraud_impersonation,Missing,-1,-1,-1,1,-1,-1,-1,-1,-1,Granted
Missing,South-West,Armed_robbery,Death,-1,-1,-1,1,1,-1,-1,4,-1,Dismissed
South-West,South-West,Fraud_impersonation,Payment_damages,1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-West,Missing,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,South-West,Dispute,Appeal_granted,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,South-South,Dispute,Missing,-1,0,-1,-1,-1,-1,-1,0,-1,Dismissed
North-West,North-West,Murder_manslaughter,Death,-1,-1,-1,2,2,-1,-1,5,-1,Dismissed
Missing,Missing,Murder_manslaughter,Death,-1,-1,-1,4,-1,-1,-1,-1,-1,Dismissed
South-West,South-West,Dispute,Payment_damages,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-West,Missing,Dispute,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Granted
South-West,South-West,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-West,South-West,Dispute,Missing,1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
South-South,South-South,Murder_manslaughter,Death,-1,-1,-1,2,2,-1,-1,2,-1,Dismissed
Missing,South-West,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
Missing,South-West,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,South-West,Theft,Prison_term,-1,-1,-1,1,1,-1,-1,3,-1,Dismissed
Missing,Missing,Dispute,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-West,Missing,Murder_manslaughter,Missing,-1,-1,-1,4,-1,-1,1,1,-1,Dismissed
South-West,South-West,Trespassing,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-West,Missing,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
Missing,Missing,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
South-West,South-West,Armed_robbery,Prison_term,-1,-1,-1,2,2,-1,-1,-1,-1,Dismissed
South-West,South-West,Armed_robbery,Death,-1,-1,-1,3,3,-1,-1,-1,-1,Dismissed
Missing,Missing,Murder_manslaughter,Missing,-1,-1,-1,1,1,-1,-1,-1,-1,Dismissed
South-West,South-West,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
Missing,South-West,Civil_petition,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-South,South-South,Armed_robbery,Death,-1,-1,-1,1,1,-1,3,-1,-1,Dismissed
Missing,South-West,Others,Missing,-1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
South-West,South-West,Armed_robbery,Prison_term,-1,-1,-1,2,2,-1,-1,-1,-1,Dismissed
Missing,Missing,Theft,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
Missing,Missing,Theft,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
South-West,Missing,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-West,Missing,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-West,South-West,Dispute,Missing,-1,-1,-1,-1,-1,-1,7,-1,5,Dismissed
South-West,South-West,Dispute,Missing,-1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
South-West,Missing,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
South-South,South-South,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
South-South,South-South,Trespassing,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
Missing,Missing,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,South-East,Curroption_abuse_office,Missing,-1,-1,-1,1,1,-1,-1,-1,-1,Granted
Missing,Missing,Dispute,Missing,-1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Murder_manslaughter,Missing,-1,-1,-1,1,1,-1,-1,-1,-1,Dismissed
South-South,South-South,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-East,South-East,Civil_petition,Missing,-1,-1,-1,1,1,-1,-1,-1,-1,Dismissed
South-South,Missing,Theft,Missing,-1,-1,-1,1,-1,-1,-1,-1,-1,Granted
South-South,South-South,Trespassing,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Others,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
South-East,South-East,Dispute,Missing,-1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
South-West,South-West,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
Missing,South-West,Law_of_tort,Missing,1,-1,-1,2,-1,-1,-1,-1,-1,Dismissed
South-South,South-South,Unlawful_possession,Missing,-1,-1,-1,2,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Unlawful_termination_appointment,Missing,-1,-1,-1,1,1,-1,1,-1,-1,Dismissed
Missing,South-West,Theft,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
Missing,North-West,Theft,Missing,1,-1,1,1,1,-1,-1,-1,-1,Granted
Missing,South-South,Armed_robbery,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-West,South-West,Fraud_impersonation,Prison_term,-1,-1,-1,4,-1,-1,-1,-1,-1,Dismissed
Missing,South-West,Armed_robbery,Prison_term,2,1,1,-1,-1,-1,-1,2,-1,Dismissed
South-West,South-West,Dispute,Payment_damages,-1,-1,-1,1,1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Missing,3,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Missing,1,-1,-1,1,1,-1,-1,-1,-1,Dismissed
South-West,South-West,Others,Missing,3,-1,-1,2,-1,-1,-1,-1,-1,Dismissed
North-Central,Missing,Dispute,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
South-West,South-West,Dispute,Missing,2,-1,-1,7,-1,-1,-1,-1,-1,Granted
Missing,Missing,Others,Missing,-1,-1,-1,14,-1,-1,-1,-1,-1,Dismissed
Missing,South-West,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,South-West,Dispute,Missing,1,1,-1,1,1,-1,-1,-1,-1,Granted
South-West,South-West,Unlawful_possession,Payment_damages,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
Missing,Missing,Theft,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,South-West,Law_of_tort,Missing,-1,-1,-1,2,-1,-1,-1,-1,-1,Granted
Missing,Missing,Law_of_tort,Payment_damages,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
Missing,Missing,Dispute,Missing,1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,South-West,Claim_for_recovery,Missing,1,1,-1,1,1,-1,-1,-1,-1,Granted
South-West,Missing,Dispute,Missing,1,1,-1,3,-1,-1,-1,-1,-1,Granted
Missing,Missing,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,South-West,Dispute,Prison_term,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-West,South-West,Dispute,Missing,1,1,-1,2,-1,-1,-1,-1,-1,Dismissed
South-West,South-West,Dispute,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,South-West,Murder_manslaughter,Death,-1,-1,-1,1,1,-1,-1,-1,-1,Dismissed
Missing,South-West,Murder_manslaughter,Death,-1,-1,-1,1,1,-1,-1,-1,-1,Dismissed
FCT,Missing,Dispute,Missing,3,-1,1,4,-1,-1,-1,-1,-1,Dismissed
Missing,South-West,Theft,Others,1,-1,-1,1,-1,-1,-1,-1,-1,Granted
South-West,South-West,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
Missing,Missing,Dispute,Missing,4,4,-1,-1,-1,-1,-1,-1,-1,Dismissed
North-West,Missing,Dispute,Death,-1,-1,-1,1,1,-1,-1,-1,-1,Dismissed
South-West,South-West,Law_of_tort,Payment_damages,1,-1,-1,1,-1,-1,-1,-1,-1,Granted
Missing,South-West,Others,Missing,-1,-1,-1,3,-1,-1,-1,-1,-1,Granted
Missing,South-West,Dispute,Missing,3,-1,-1,-1,-1,-1,-1,-1,-1,Granted
Missing,South-West,Theft,Missing,1,1,-1,-1,-1,-1,-1,-1,-1,Granted
South-West,Missing,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-West,South-West,Theft,Missing,-1,-1,-1,5,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Civil_petition,Missing,1,1,-1,2,2,-1,-1,-1,-1,Dismissed
Missing,Missing,Armed_robbery,Death,1,1,-1,3,3,-1,-1,1,-1,Dismissed
South-West,South-West,Others,Missing,1,-1,1,-1,-1,-1,-1,-1,-1,Dismissed
South-West,Missing,Dispute,Prison_term_hard_labour,1,-1,-1,1,1,-1,-1,-1,-1,Dismissed
South-West,Missing,Dispute,Payment_damages,1,1,-1,1,1,-1,-1,-1,-1,Dismissed
Missing,Missing,Unlawful_possession,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
Missing,South-West,Theft,Missing,1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
South-West,South-West,Murder_manslaughter,Death,-1,-1,-1,3,3,-1,-1,-1,-1,Dismissed
North-West,South-West,Dispute,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
South-East,Missing,Election_petition,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,South-West,Missing,Missing,-1,-1,-1,-1,1,1,-1,-1,-1,Dismissed
Missing,South-West,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
South-West,South-West,Dispute,Missing,5,-1,-1,5,-1,-1,-1,-1,-1,Dismissed
South-West,Missing,Dispute,Missing,1,1,-1,1,1,-1,-1,-1,-1,Dismissed
North-West,South-West,Civil_petition,Missing,1,1,-1,-1,-1,-1,-1,-1,-1,Granted
Missing,South-West,Dispute,Missing,1,1,-1,1,1,-1,-1,-1,-1,Granted
Missing,Missing,Human_rights_violation,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-West,Missing,Dispute,Payment_damages,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
North-West,Missing,Murder_manslaughter,Death,-1,-1,-1,1,1,-1,3,1,-1,Granted
Missing,Missing,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,South-West,Dispute,Missing,-1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,South-West,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
South-West,South-West,Dispute,Missing,1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
Missing,South-West,Dispute,Missing,1,1,-1,3,-1,-1,-1,-1,-1,Dismissed
FCT,FCT,Others,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
